Using the standard Ruby profiler.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  7.10     1.87      1.87     5292     0.35     9.69  Array#each
  4.37     3.02      1.15     3928     0.29     1.64  ActiveRecord::AttributeMethods::Read.read_attribute
  4.06     4.09      1.07     3314     0.32     0.71  ActiveRecord::ConnectionAdapters::Column#type_cast
  3.30     4.96      0.87    25451     0.03     0.06  Hash#[]
  2.54     5.63      0.67     1613     0.42     0.42  String#blank?
  2.51     6.29      0.66     3225     0.20     0.60  ActiveRecord::AttributeMethods::Read.unserializable_attribute?
  2.20     6.87      0.58     1266     0.46     2.90  Array#map
  2.09     7.42      0.55     1412     0.39     0.58  Array#include?
  2.05     7.96      0.54       56     9.64    10.89  Array#select
  1.71     8.41      0.45      546     0.82     0.82  String#=~
  1.67     8.85      0.44      533     0.83     2.70  Hash#each
  1.52     9.25      0.40     9665     0.04     0.04  Hash#[]=
  1.52     9.65      0.40      700     0.57     0.74  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  1.44    10.03      0.38     3379     0.11     0.21  Class#read_inheritable_attribute
  1.41    10.40      0.37    21130     0.02     0.02  String#to_s
  1.37    10.76      0.36     2524     0.14     0.32  ActiveRecord::Base#serialized_attributes
  1.33    11.11      0.35    13678     0.03     0.03  String#==
  1.29    11.45      0.34     3308     0.10     0.21  ActiveRecord::Base#column_for_attribute
  1.22    11.77      0.32     7828     0.04     0.04  Symbol#to_s
  1.18    12.08      0.31     3822     0.08     0.08  Class#inheritable_attributes
  1.10    12.37      0.29    12764     0.02     0.02  Kernel.==
  1.06    12.65      0.28      135     2.07     2.07  SQLite3::Statement#initialize
  0.91    12.89      0.24     2993     0.08     1.31  Class#new
  0.87    13.12      0.23     8148     0.03     0.03  Kernel.nil?
  0.84    13.34      0.22     3225     0.07     0.08  ActiveRecord::ConnectionAdapters::Column#text?
  0.84    13.56      0.22     9348     0.02     0.02  Kernel.class
  0.80    13.77      0.21     6891     0.03     0.03  Kernel.is_a?
  0.80    13.98      0.21     7502     0.03     3.50  Kernel.send
  0.76    14.18      0.20      443     0.45     0.47  ActiveRecord::DynamicFinderMatch#match
  0.68    14.36      0.18     2383     0.08     0.08  Kernel.hash
  0.65    14.53      0.17     6061     0.03     0.09  Hash#default
  0.65    14.70      0.17     8577     0.02     0.02  Symbol#===
  0.65    14.87      0.17      776     0.22     0.22  String#split
  0.61    15.03      0.16      136     1.18     8.75  Kernel.loop
  0.57    15.18      0.15       67     2.24     8.21  ActiveRecord::Associations::HasManyAssociation#construct_sql
  0.53    15.32      0.14      625     0.22     0.22  ActiveRecord::Relation#reset
  0.53    15.46      0.14      252     0.56     1.94  Arel::SelectManager#initialize
  0.53    15.60      0.14     1466     0.10     0.10  NilClass#nil?
  0.49    15.73      0.13      109     1.19    46.51  ActiveRecord::Calculations.execute_simple_calculation
  0.49    15.86      0.13      129     1.01     3.10  ActiveSupport::BufferedLogger#flush
  0.49    15.99      0.13       71     1.83     5.35  URI.parse
  0.49    16.12      0.13      787     0.17     0.18  Object#present?
  0.49    16.25      0.13     2254     0.06     0.06  Thread#current
  0.46    16.37      0.12      128     0.94    26.41  ActiveRecord::ConnectionAdapters::SQLiteAdapter#select
  0.46    16.49      0.12     1008     0.12     0.81  Arel::Visitors::Visitor#visit
  0.46    16.61      0.12      201     0.60    34.33  ActiveRecord::Associations::AssociationCollection#size
  0.42    16.72      0.11       89     1.24     1.35  SQLite3::Pragmas.tweak_default
  0.42    16.83      0.11      536     0.21     3.12  ActiveModel::EachValidator#validate
  0.42    16.94      0.11      232     0.47     3.10  ActiveSupport::Inflector.constantize
  0.42    17.05      0.11       65     1.69     4.15  Kernel.with_warnings
  0.42    17.16      0.11      237     0.46     4.47  ActiveRecord::QueryMethods.build_arel
  0.38    17.26      0.10      124     0.81     5.97  ActiveRecord::SpawnMethods.apply_finder_options
  0.38    17.36      0.10      268     0.37     2.39  ActiveRecord::ConnectionAdapters::Column#fast_string_to_time
  0.38    17.46      0.10      129     0.78     2.09  Mutex#synchronize
  0.38    17.56      0.10       67     1.49   170.15  User#_run_validate_callbacks
  0.34    17.65      0.09      237     0.38     0.55  ActiveRecord::QueryMethods.build_select
  0.34    17.74      0.09      129     0.70     5.50  ActiveSupport::BufferedLogger#add
  0.34    17.83      0.09      129     0.70    19.84  ActiveSupport::Notifications::Instrumenter#instrument
  0.34    17.92      0.09     1778     0.05     0.05  String#to_i
  0.34    18.01      0.09       70     1.29     2.29  URI::Generic#initialize
  0.34    18.10      0.09      129     0.70    20.54  ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.30    18.18      0.08       85     0.94     0.94  ActiveRecord::ConnectionAdapters::Quoting.quote
  0.30    18.26      0.08      313     0.26     0.48  Authlogic::ActsAsAuthentic::Base::Config.rw_config
  0.30    18.34      0.08      142     0.56     3.24  ActiveRecord::QueryMethods.where
  0.30    18.42      0.08     2492     0.03     0.03  Module#===
  0.30    18.50      0.08      118     0.68     1.44  ActiveSupport::Callbacks::Callback#_compile_filter
  0.30    18.58      0.08      328     0.24     0.24  Module#constants
  0.30    18.66      0.08      135     0.59     8.44  SQLite3::Database#prepare
  0.30    18.74      0.08      122     0.66     1.23  Integer#times
  0.30    18.82      0.08     1982     0.04     0.04  Hash#include?
